ISO code,Data Awal,Country and areas,Indicator,Measure,Estimate,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
LAO,"LAO (Lao People's Democratic Republic): Longitude (lon) = 102,4955; Latitude (lat) = 19,8563",Lao People's Democratic Republic,Stunting,Proportion,Point Estimate,49,49,49,49,49,48,48,47,46,45,43,42,40,39,38,36,35,34,32,31,30,29,28
CMR,"CMR (Cameroon): Longitude (lon) = 12,3547; Latitude (lat) = 5,9592",Cameroon,Stunting,Proportion,Point Estimate,38,38,38,38,37,37,37,36,35,35,34,33,32,32,31,31,30,30,29,29,28,27,27
NPL,"NPL (Nepal): Longitude (lon) = 83,9918; Latitude (lat) = 28,3949",Nepal,Stunting,Proportion,Point Estimate,56,55,54,53,51,50,49,48,47,45,43,42,40,39,37,36,35,33,32,30,29,28,27
LBR,"LBR (Liberia): Longitude (lon) = -9,4295; Latitude (lat) = 6,4281",Liberia,Stunting,Proportion,Point Estimate,45,44,43,42,42,41,41,40,39,38,37,36,35,34,33,33,32,31,30,29,28,27,27
BGD,"BGD (Bangladesh): Longitude (lon) = 90,3563; Latitude (lat) = 23,6841",Bangladesh,Stunting,Proportion,Point Estimate,55,53,52,51,50,49,48,47,45,44,42,41,39,38,36,35,34,33,31,30,29,28,26
SLE,"SLE (Sierra Leone): Longitude (lon) = -11,7922; Latitude (lat) = 8,4606",Sierra Leone,Stunting,Proportion,Point Estimate,38,39,39,39,39,39,39,39,38,38,37,36,35,34,33,32,32,31,29,28,27,27,26
SYR,"SYR (Syrian Arab Republic): Longitude (lon) = 38,9968; Latitude (lat) = 35,3257",Syrian Arab Republic,Stunting,Proportion,Point Estimate,28,29,29,30,30,30,30,29,29,28,27,27,26,27,27,28,28,28,28,27,27,26,25
MMR,"MMR (Myanmar): Longitude (lon) = 95,9560; Latitude (lat) = 21,9162",Myanmar,Stunting,Proportion,Point Estimate,46,44,43,42,40,39,38,37,35,34,33,32,31,30,30,29,29,28,27,26,26,25,24
MLI,"MLI (Mali): Longitude (lon) = -3,9962; Latitude (lat) = 17,5707",Mali,Stunting,Proportion,Point Estimate,40,39,39,38,38,37,36,36,35,34,33,32,31,30,29,29,28,27,26,26,25,24,24
UGA,"UGA (Uganda): Longitude (lon) = 32,2903; Latitude (lat) = 1,3733",Uganda,Stunting,Proportion,Point Estimate,44,44,43,43,42,41,41,40,39,37,36,35,33,32,31,30,28,27,26,26,25,24,23
ZAF,"ZAF (South Africa): Longitude (lon) = 25,0175; Latitude (lat) = -30,5595",South Africa,Stunting,Proportion,Point Estimate,27,26,26,26,26,26,26,26,25,24,23,23,23,22,22,22,22,22,22,23,23,23,23
BTN,"BTN (Bhutan): Longitude (lon) = 90,4336; Latitude (lat) = 27,5142",Bhutan,Stunting,Proportion,Point Estimate,45,43,42,41,40,39,38,37,36,34,33,32,30,29,28,27,26,26,25,24,24,23,23
ECU,"ECU (Ecuador): Longitude (lon) = -78,1834; Latitude (lat) = -1,8312",Ecuador,Stunting,Proportion,Point Estimate,28,27,27,27,28,28,28,28,28,27,26,25,24,24,23,23,23,23,23,23,23,23,23
KHM,"KHM (Cambodia): Longitude (lon) = 104,9909; Latitude (lat) = 12,5657",Cambodia,Stunting,Proportion,Point Estimate,51,49,48,47,46,45,44,42,41,39,37,36,34,32,30,29,28,27,26,25,24,23,22
TGO,"TGO (Togo): Longitude (lon) = 0,8248; Latitude (lat) = 8,6195",Togo,Stunting,Proportion,Point Estimate,32,32,32,31,31,31,31,30,30,29,29,28,27,27,26,26,26,25,25,24,24,23,22
MRT,"MRT (Mauritania): Longitude (lon) = -10,9408; Latitude (lat) = 21,0079",Mauritania,Stunting,Proportion,Point Estimate,39,38,36,35,33,32,31,30,29,28,27,27,26,26,25,25,25,25,24,24,23,23,22
MYS,"MYS (Malaysia): Longitude (lon) = 101,9758; Latitude (lat) = 4,2105",Malaysia,Stunting,Proportion,Point Estimate,20,19,19,18,18,18,18,18,18,18,17,17,18,18,19,19,20,20,21,21,21,22,22
BFA,"BFA (Burkina Faso): Longitude (lon) = -1,5616; Latitude (lat) = 12,2383",Burkina Faso,Stunting,Proportion,Point Estimate,41,41,41,42,42,42,41,41,40,38,37,35,33,32,30,28,27,26,25,24,23,22,22
BWA,"BWA (Botswana): Longitude (lon) = 24,6849; Latitude (lat) = -22,3285",Botswana,Stunting,Proportion,Point Estimate,30,30,30,30,30,29,29,28,28,27,26,25,25,24,23,23,23,23,23,23,23,22,22
ZWE,"ZWE (Zimbabwe): Longitude (lon) = 29,1549; Latitude (lat) = -19,0154",Zimbabwe,Stunting,Proportion,Point Estimate,33,33,34,34,34,35,35,35,35,34,34,32,31,30,28,27,26,25,24,23,23,22,22
SWZ,"SWZ (Eswatini): Longitude (lon) = 31,4659; Latitude (lat) = -26,5225",Eswatini,Stunting,Proportion,Point Estimate,36,36,35,35,34,34,33,33,32,31,30,29,28,27,26,26,25,24,24,23,22,22,21
EGY,"EGY (Egypt): Longitude (lon) = 31,2156; Latitude (lat) = 25,7617",Egypt,Stunting,Proportion,Point Estimate,26,26,25,25,25,24,24,25,25,25,25,25,25,24,23,23,22,22,22,21,21,21,20
CIV,"CIV (Côte d'Ivoire): Longitude (lon) = -5,5471; Latitude (lat) = 7,5390",Côte d'Ivoire,Stunting,Proportion,Point Estimate,33,33,33,33,33,34,34,33,33,32,31,31,30,29,28,27,26,25,24,23,22,21,20
HTI,"HTI (Haiti): Longitude (lon) = -72,2852; Latitude (lat) = 18,9712",Haiti,Stunting,Proportion,Point Estimate,30,30,29,29,28,28,28,27,27,26,25,24,24,23,23,22,22,21,21,21,20,20,20
VNM,"VNM (Viet Nam): Longitude (lon) = 106,7009; Latitude (lat) = 10,7769",Viet Nam,Stunting,Proportion,Point Estimate,42,40,38,36,35,33,32,31,30,29,27,26,25,25,24,24,23,22,22,21,20,20,19
COM,"COM (Comoros): Longitude (lon) = 43,8722; Latitude (lat) = -11,8750",Comoros,Stunting,Proportion,Point Estimate,44,44,44,43,43,42,41,40,39,37,36,34,32,30,29,27,26,24,23,22,21,20,19
DJI,"DJI (Djibouti): Longitude (lon) = 42,5903; Latitude (lat) = 11,8251",Djibouti,Stunting,Proportion,Point Estimate,34,34,35,35,36,36,36,35,34,33,32,31,30,28,27,26,25,24,23,22,21,20,19
KEN,"KEN (Kenya): Longitude (lon) = 37,9062; Latitude (lat) = -1,2921",Kenya,Stunting,Proportion,Point Estimate,39,39,38,38,38,37,37,36,35,33,32,30,29,27,26,25,24,23,22,21,20,19,18
SOM,"SOM (Somalia): Longitude (lon) = 45,7075; Latitude (lat) = 5,1521",Somalia,Stunting,Proportion,Point Estimate,33,33,34,34,34,34,34,33,32,31,30,29,28,26,25,24,23,22,21,20,19,19,18
HND,"HND (Honduras): Longitude (lon) = -86,2419; Latitude (lat) = 15,1994",Honduras,Stunting,Proportion,Point Estimate,37,36,35,34,32,31,30,29,27,26,24,23,22,21,21,20,20,20,19,19,18,18,18
SEN,"SEN (Senegal): Longitude (lon) = -14,4524; Latitude (lat) = 14,4974",Senegal,Stunting,Proportion,Point Estimate,25,24,23,23,22,21,21,20,20,19,19,19,19,19,19,19,19,19,18,18,18,17,17
PRK,"PRK (Democratic People's Republic of Korea): Longitude (lon) = 127,5101; Latitude (lat) = 40,3399",Democratic People's Republic of Korea,Stunting,Proportion,Point Estimate,53,51,49,46,44,41,39,36,34,31,29,27,26,24,23,22,21,21,20,19,18,18,17
NAM,"NAM (Namibia): Longitude (lon) = 18,4904; Latitude (lat) = -22,9576",Namibia,Stunting,Proportion,Point Estimate,30,30,30,30,30,29,29,29,28,27,26,25,24,23,22,21,20,20,19,18,18,17,17
COG,"COG (Congo): Longitude (lon) = 15,8277; Latitude (lat) = -0,2280",Congo,Stunting,Proportion,Point Estimate,34,34,33,33,32,31,30,29,28,27,26,24,23,22,22,21,20,20,19,19,18,17,17
